geneID,A_1_R1,A_1_R2,A_1_R3,A_1_R4,A_1_R5,A_308_R1,A_308_R2,A_308_R3,A_308_R4,A_308_R5,E_1_R1,E_1_R2,E_1_R4,E_1_R5,E_1_R6,E_1_R7,E_1_R8,E_1_R9,E_308_R1,E_308_R2,E_308_R3,E_308_R4,E_308_R6,E_308_R7,E_308_R8
ENSMUSG00000051323,9.740223135,8.645249583,8.946997465,8.116931498,9.113837347,6.922297204,7.089172336,8.454400383,7.029816933,8.236848978,10.11058008,4.657057489,5.695076997,6.430501792,4.317917473,6.020431044,8.405696944,5.283006034,5.148204966,5.150017288,6.169100217,8.002212866,4.102057899,7.722156056,2.071505292
ENSMUSG00000051329,6.856132491,6.803946368,6.236149998,7.040763476,6.783009312,6.956440475,7.13431303,7.316903089,7.845523918,7.509459569,13.21606426,9.479961791,11.01093658,9.778334517,4.433662386,5.274747223,14.16097146,5.588512874,11.51685166,9.260024057,4.2387471,7.804579342,9.28314133,6.254128423,2.991884841
ENSMUSG00000051331,2.535287894,1.92981623,2.635920345,1.88837541,2.153171248,1.012227062,1.15766707,1.418753166,1.016074746,1.234133698,3.34600837,0.639674143,2.487724421,2.59210946,0.405894453,0.321074823,0.00359096,8.09940472,1.804088473,0.529331566,0.469562995,1.96778663,0.218384624,0.679729667,0.014120691
ENSMUSG00000051335,4.831042311,4.639066531,5.107595897,4.172845025,5.232419822,3.746964942,4.162849389,4.041970825,4.165251422,4.225644081,5.593962897,2.686928849,3.908614172,8.285854378,4.898396659,3.372921019,3.366882916,10.94733156,6.51268076,6.126870927,2.534584755,4.014799108,2.144459834,3.096744408,1.564166856
ENSMUSG00000051343,18.03949204,18.62115298,19.04238989,18.06283309,20.65285624,20.48005377,20.60410218,21.27999727,20.59703271,20.76879025,22.55462725,19.56173736,20.72472029,23.2280397,22.19549823,24.40723906,21.73186592,24.40880419,27.99595914,32.42733226,23.78878708,20.70563255,16.50906571,25.20881609,26.74178534
ENSMUSG00000051367,10.47477671,10.99781336,11.03644221,10.95483775,10.69617499,8.797758404,9.586495838,10.03623889,9.721028128,9.810457135,4.79750014,5.989100648,4.566527964,6.556527491,16.35503011,18.06580775,3.648865979,9.479037471,4.638284459,4.251331321,10.47207514,11.65861563,7.507288982,21.26835712,7.230245386
ENSMUSG00000051378,8.929148554,8.034627313,9.03411543,7.747233445,8.729856005,5.47401681,6.366903107,6.534840607,7.029675217,5.61376723,15.90049558,1.980437572,15.26961206,13.54293884,0.924809791,1.854376558,4.163684793,5.366972004,15.94991286,15.3667865,3.637671506,7.885085351,6.512475808,8.298622533,0.838198468
ENSMUSG00000051391,108.9192585,112.8623999,112.781093,111.3839174,116.8033838,122.0303321,121.7721364,111.1566959,118.6957257,125.2107694,150.2067152,129.3862304,144.4480877,236.561747,83.65869745,81.86551547,202.2022289,195.8703385,231.5974954,255.3269907,81.07890741,138.6288406,94.69467062,84.88834799,56.98456566
ENSMUSG00000051413,3.463806575,3.158312468,3.749271979,3.252498393,3.534417967,3.275788713,4.307993005,3.846482641,3.700189024,4.215166678,7.001165124,2.738100086,6.089278804,5.903949778,2.789710502,1.752908996,4.326826555,4.686875872,6.945652302,5.393188868,1.833306998,5.243612982,2.469207302,2.203874246,1.167650137
ENSMUSG00000051502,2.360084329,2.721551614,2.859131644,2.891242562,2.975996767,4.792020579,3.849429096,2.86768214,3.868922606,3.618065691,3.731569605,6.351914526,3.460939683,2.257846096,2.810054944,3.414360324,6.335319365,1.603755657,4.267388059,4.461489543,4.04059176,4.55535271,4.058737957,3.763009877,5.063112115
ENSMUSG00000051557,7.686486049,9.649684916,9.291963273,7.306162909,8.952033513,10.13247739,10.57435446,10.55482364,11.53821976,11.36357881,8.795866466,9.32344664,9.097176781,13.45469717,8.07498313,5.788897161,8.821639884,9.231981379,10.50681968,10.77218215,6.278398578,9.260751808,9.332397474,6.738167482,6.878037695
ENSMUSG00000051586,1.933426482,1.368547479,2.481326274,1.433213998,1.531422033,0.918437579,1.036391253,1.285082746,0.954119558,1.065457966,4.457068221,0.623713599,4.665818094,5.415929137,0.210352328,0.119866719,0.531456714,4.055922903,5.469503488,4.243431734,0.463297462,4.452900646,0.307815209,0.506562197,0.139322744
ENSMUSG00000051599,1.085866541,1.271741629,0.829535531,0.908522591,0.92448191,1.31265897,1.947949755,2.490872428,1.546058909,1.527569769,2.258517546,2.142429552,2.587595135,0.944528795,1.264464695,2.079272142,0.187421193,0.479623538,0.389090458,0.235458569,1.302795882,1.565903674,0.518092722,1.25232389,0.251248027
ENSMUSG00000051674,4.824017032,4.263377455,4.868099989,4.253643517,4.391920284,5.096669414,5.131165431,5.277104922,5.352424999,4.898547094,6.965321035,7.860290409,7.052403701,8.077752018,7.034732939,6.226936872,5.520075759,5.386486885,5.884439289,5.460162681,4.911455792,5.762635554,4.738560433,4.88913073,4.480912469
ENSMUSG00000051678,2.302431042,2.732507718,2.345221732,2.35596203,2.693387886,3.178434612,3.175291955,3.316013204,4.455539967,3.2569966,1.978150349,2.442978152,3.086548457,0.636332763,1.693920348,3.794778874,0.982664115,0.632785015,0.528008283,0.488162981,4.39848804,2.877579407,1.443801403,2.968206726,2.045709983
ENSMUSG00000051695,354.0202138,360.8054528,355.1084175,367.6361575,364.5707814,389.507275,393.3068115,367.8280292,407.3812446,393.0666567,221.894134,254.3679095,220.9169951,202.0306351,218.006491,226.4969155,331.2111041,250.0397626,250.2823096,251.7469833,241.1307312,215.2028906,243.4582817,259.707339,211.7291926
